"countrycode","year","threshold","coverage","goal","headcount","datatype"
"ALB",1981,3.377901,"N",0.1,0.09991521,"consumption"
"DZA",1981,2.609552,"N",0.1,0.1,"consumption"
"AGO",1981,0.876365,"N",0.1,0.09979815,"consumption"
"ARG",1981,5.815151,"U",0.1,0.1,"income"
"ARM",1981,2.617699,"N",0.1,0.1,"income"
"AUS",1981,14.01086,"N",0.1,0.09670346,"income"
"AUT",1981,20.50949,"N",0.1,0.09997537,"income"
"AZE",1981,5.616656,"N",0.1,0.09967431,"consumption"
"BGD",1981,1.410179,"N",0.1,0.1,"consumption"
"BLR",1981,3.94727,"N",0.1,0.1,"income"
"BEL",1981,14.58896,"N",0.1,0.09984169,"income"
"BLZ",1981,0.9630012,"N",0.1,0.09987093,"income"
"BEN",1981,0.8202186,"N",0.1,0.09972347,"consumption"
"BTN",1981,0.525207,"N",0.1,0.09996612,"consumption"
"BOL",1981,1.72396,"N",0.1,0.1001041,"income"
"BIH",1981,2.760371,"N",0.1,0.09994571,"consumption"
"BWA",1981,0.5698592,"N",0.1,0.1,"consumption"
"BRA",1981,1.165237,"N",0.1,0.09998633,"income"
"BGR",1981,9.792286,"N",0.1,0.09999998,"consumption"
"BFA",1981,0.3456598,"N",0.1,0.09975863,"consumption"
"BDI",1981,0.5123645,"N",0.1,0.1,"consumption"
"CPV",1981,0.4843315,"N",0.1,0.09987529,"consumption"
"CMR",1981,1.25568,"N",0.1,0.09863332,"consumption"
"CAN",1981,16.13643,"N",0.1,0.09998062,"income"
"CAF",1981,0.145638,"N",0.1,0.1,"consumption"
"TCD",1981,0.4799716,"N",0.1,0.09988872,"consumption"
"CHL",1981,2.166801,"N",0.1,0.09990597,"income"
"CHN",1981,0.4937228,"A",0.1,0.1,"income"
"CHN",1981,0.4937228,"R",0.1,0.1,"income"
"CHN",1981,1.157403,"U",0.1,0.1,"income"
"COL",1981,1.918785,"N",0.1,0.09971794,"income"
"COM",1981,1.698636,"N",0.1,0.09988804,"consumption"
"COD",1981,0.6173878,"N",0.1,0.09991752,"consumption"
"COG",1981,0.6954669,"N",0.1,0.09953713,"consumption"
"CRI",1981,0.88186,"N",0.1,0.1,"income"
"CIV",1981,2.631558,"N",0.1,0.09985109,"consumption"
"HRV",1981,10.60366,"N",0.1,0.1,"income"
"CYP",1981,6.209856,"N",0.1,0.1001044,"income"
"CZE",1981,9.541825,"N",0.1,0.09989719,"income"
"DNK",1981,18.82937,"N",0.1,0.09994909,"income"
"DJI",1981,2.893933,"N",0.1,0.09984143,"consumption"
"DOM",1981,2.648945,"N",0.1,0.1,"income"
"ECU",1981,1.299848,"N",0.1,0.1000882,"income"
"EGY",1981,1.599544,"N",0.1,0.1,"consumption"
"SLV",1981,1.136929,"N",0.1,0.1,"income"
"EST",1981,4.726773,"N",0.1,0.1,"income"
"SWZ",1981,0.1208321,"N",0.1,0.1,"consumption"
"ETH",1981,0.7938561,"N",0.1,0.09992485,"consumption"
"FJI",1981,2.474192,"N",0.1,0.1000078,"consumption"
"FIN",1981,14.61973,"N",0.1,0.09999073,"income"
"FRA",1981,13.33454,"N",0.1,0.09974858,"income"
"GAB",1981,2.707443,"N",0.1,0.1001642,"consumption"
"GMB",1981,0.4713428,"N",0.1,0.0981953,"consumption"
"GEO",1981,8.567941,"N",0.1,0.1,"consumption"
"DEU",1981,16.66795,"N",0.1,0.09999766,"income"
"GHA",1981,0.9829774,"N",0.1,0.1,"consumption"
"GRC",1981,6.120645,"N",0.1,0.09990067,"income"
"GTM",1981,0.5755271,"N",0.1,0.1,"income"
"GIN",1981,0.1172987,"N",0.1,0.1,"consumption"
"GNB",1981,0.3400342,"N",0.1,0.1,"consumption"
"GUY",1981,1.279306,"N",0.1,0.09999999,"income"
"HTI",1981,0.4884461,"N",0.1,0.09962224,"income"
"HND",1981,0.5784458,"N",0.1,0.1,"income"
"HUN",1981,11.61556,"N",0.1,0.1,"income"
"ISL",1981,16.40617,"N",0.1,0.100038,"income"
"IND",1981,0.8495199,"A",0.1,0.1,"consumption"
"IND",1981,0.8495199,"R",0.1,0.1,"consumption"
"IND",1981,1.07363,"U",0.1,0.1,"consumption"
"IDN",1981,0.6776839,"A",0.1,0.1,"consumption"
"IDN",1981,0.6776839,"R",0.1,0.1,"consumption"
"IDN",1981,0.9471375,"U",0.1,0.1,"consumption"
"IRN",1981,1.887437,"N",0.1,0.1,"consumption"
"IRQ",1981,2.198508,"N",0.1,0.1008999,"consumption"
"IRL",1981,6.902099,"N",0.1,0.09964853,"income"
"ISR",1981,7.063101,"N",0.1,0.09939093,"income"
"ITA",1981,9.870273,"N",0.1,0.09971445,"income"
"JAM",1981,2.209077,"N",0.1,0.1,"consumption"
"JPN",1981,8.179633,"N",0.1,0.09998244,"income"
"JOR",1981,3.939963,"N",0.1,0.1,"consumption"
"KAZ",1981,2.946366,"N",0.1,0.1,"income"
"KEN",1981,0.9816792,"N",0.1,0.1,"consumption"
"KIR",1981,2.157307,"N",0.1,0.09934866,"consumption"
"KOR",1981,3.592221,"N",0.1,0.0999505,"income"
"KGZ",1981,1.699978,"N",0.1,0.0998615,"consumption"
"LAO",1981,1.069446,"N",0.1,0.09982433,"consumption"
"LVA",1981,6.301743,"N",0.1,0.1,"income"
"LBN",1981,6.309771,"N",0.1,0.1002496,"consumption"
"LSO",1981,0.4589729,"N",0.1,0.1,"consumption"
"LBR",1981,2.597248,"N",0.1,0.0992398,"consumption"
"LTU",1981,3.244899,"N",0.1,0.1,"income"
"LUX",1981,17.2315,"N",0.1,0.09970531,"income"
"MDG",1981,0.6584632,"N",0.1,0.09998352,"consumption"
"MWI",1981,0.7072157,"N",0.1,0.09988548,"consumption"
"MYS",1981,2.709497,"N",0.1,0.1,"income"
"MLI",1981,0.2538105,"N",0.1,0.09971444,"consumption"
"MLT",1981,6.852711,"N",0.1,0.1000176,"income"
"MRT",1981,0.7293459,"N",0.1,0.1,"consumption"
"MUS",1981,1.496092,"N",0.1,0.09984046,"consumption"
"MEX",1981,2.371806,"N",0.1,0.1001431,"consumption"
"MDA",1981,3.956346,"N",0.1,0.09998488,"consumption"
"MNG",1981,1.758021,"N",0.1,0.1,"consumption"
"MNE",1981,10.09865,"N",0.1,0.1002959,"consumption"
"MAR",1981,1.63631,"N",0.1,0.1,"consumption"
"MOZ",1981,0.3056246,"N",0.1,0.09993309,"consumption"
"MMR",1981,0.3797166,"N",0.1,0.1000015,"consumption"
"NAM",1981,0.5593761,"N",0.1,0.1,"income"
"NPL",1981,0.6686431,"N",0.1,0.1,"income"
"NLD",1981,15.98294,"N",0.1,0.09986482,"income"
"NIC",1981,1.67459,"N",0.1,0.09987461,"consumption"
"NER",1981,0.906639,"N",0.1,0.1,"consumption"
"NGA",1981,0.8347376,"N",0.1,0.1,"consumption"
"MKD",1981,4.281368,"N",0.1,0.1,"consumption"
"NOR",1981,14.39006,"N",0.1,0.09986381,"income"
"PAK",1981,0.7407187,"N",0.1,0.09992143,"consumption"
"PAN",1981,2.520161,"N",0.1,0.099875,"income"
"PNG",1981,0.5557558,"N",0.1,0.09942414,"consumption"
"PRY",1981,4.065428,"N",0.1,0.1012341,"income"
"PER",1981,3.550582,"N",0.1,0.09976565,"consumption"
"PHL",1981,1.34461,"N",0.1,0.1,"consumption"
"POL",1981,6.522855,"N",0.1,0.09999998,"income"
"PRT",1981,5.253647,"N",0.1,0.0999817,"income"
"ROU",1981,7.548325,"N",0.1,0.1,"income"
"RUS",1981,3.726989,"N",0.1,0.1,"consumption"
"RWA",1981,0.5854,"N",0.1,0.0997794,"consumption"
"SEN",1981,0.3937739,"N",0.1,0.1,"consumption"
"SRB",1981,10.62112,"N",0.1,0.099888,"consumption"
"SYC",1981,3.171507,"N",0.1,0.09887793,"consumption"
"SLE",1981,-0.001802318,"N",0.1,0.1944817,"consumption"
"SVN",1981,18.81502,"N",0.1,0.1,"income"
"ZAF",1981,1.280477,"N",0.1,0.1,"consumption"
"ESP",1981,6.435211,"N",0.1,0.09995641,"income"
"LKA",1981,1.417306,"N",0.1,0.1,"consumption"
"LCA",1981,0.4824881,"N",0.1,0.1,"income"
"SDN",1981,0.9140776,"N",0.1,0.1001787,"consumption"
"SUR",1981,0,"N",0.1,0.1132014,"income"
"SWE",1981,15.3554,"N",0.1,0.09999032,"income"
"CHE",1981,26.57105,"N",0.1,0.09975049,"income"
"SYR",1981,2.401097,"N",0.1,0.0999908,"consumption"
"TWN",1981,7.34795,"N",0.1,0.09999644,"income"
"TJK",1981,3.544445,"N",0.1,0.1007548,"consumption"
"TZA",1981,0.6313249,"N",0.1,0.0995108,"consumption"
"THA",1981,1.438655,"N",0.1,0.1,"consumption"
"TGO",1981,1.022921,"N",0.1,0.09978135,"consumption"
"TON",1981,2.242273,"N",0.1,0.09985107,"consumption"
"TTO",1981,5.212452,"N",0.1,0.1,"income"
"TUN",1981,1.562896,"N",0.1,0.1,"consumption"
"TUR",1981,2.327504,"N",0.1,0.1,"consumption"
"TKM",1981,1.233581,"N",0.1,0.1,"consumption"
"UGA",1981,0.5633789,"N",0.1,0.1,"consumption"
"UKR",1981,3.353485,"N",0.1,0.09999628,"consumption"
"ARE",1981,66.67604,"N",0.1,0.1,"income"
"GBR",1981,11.22167,"N",0.1,0.09978237,"income"
"USA",1981,16.51684,"N",0.1,0.09998684,"income"
"URY",1981,5.727576,"N",0.1,0.1000306,"income"
"UZB",1981,0.9602953,"N",0.1,0.0998272,"consumption"
"VUT",1981,1.208526,"N",0.1,0.1001346,"consumption"
"VEN",1981,2.339304,"N",0.1,0.1,"income"
"VNM",1981,0.6427722,"N",0.1,0.09979575,"consumption"
"PSE",1981,2.837041,"N",0.1,0.1005171,"consumption"
"YEM",1981,1.955174,"N",0.1,0.09990751,"consumption"
"ZMB",1981,0.1695784,"N",0.1,0.09970218,"consumption"
"ZWE",1981,1.806876,"N",0.1,0.1,"consumption"
"ALB",1982,3.404784,"N",0.1,0.09991521,"consumption"
"DZA",1982,2.578258,"N",0.1,0.1,"consumption"
"AGO",1982,0.8457754,"N",0.1,0.09979815,"consumption"
"ARG",1982,5.680951,"U",0.1,0.1,"income"
"ARM",1982,2.689252,"N",0.1,0.1,"income"
"AUS",1982,14.41575,"N",0.1,0.0967558,"income"
"AUT",1982,20.88892,"N",0.1,0.09997537,"income"
"AZE",1982,5.871986,"N",0.1,0.09967431,"consumption"
"BGD",1982,1.330265,"N",0.1,0.1,"consumption"
"BLR",1982,4.096725,"N",0.1,0.1,"income"
"BEL",1982,14.94878,"N",0.1,0.09984169,"income"
"BLZ",1982,1.063637,"N",0.1,0.09987093,"income"
"BEN",1982,0.8155818,"N",0.1,0.09972347,"consumption"
"BTN",1982,0.5294327,"N",0.1,0.09996612,"consumption"
"BOL",1982,1.621518,"N",0.1,0.1001041,"income"
"BIH",1982,2.793038,"N",0.1,0.09994571,"consumption"
"BWA",1982,0.617633,"N",0.1,0.1,"consumption"
"BRA",1982,1.155258,"N",0.1,0.09984378,"income"
"BGR",1982,10.27875,"N",0.1,0.09999998,"consumption"
"BFA",1982,0.3695547,"N",0.1,0.09975863,"consumption"
"BDI",1982,0.4938625,"N",0.1,0.1,"consumption"
"CPV",1982,0.4885751,"N",0.1,0.09987529,"consumption"
"CMR",1982,1.309075,"N",0.1,0.09863332,"consumption"
"CAN",1982,15.53663,"N",0.1,0.09997922,"income"
"CAF",1982,0.152113,"N",0.1,0.1,"consumption"
"TCD",1982,0.4943476,"N",0.1,0.09988872,"consumption"
"CHL",1982,1.821719,"N",0.1,0.09990597,"income"
"CHN",1982,0.5367522,"A",0.1,0.1,"income"
"CHN",1982,0.5367522,"R",0.1,0.1,"income"
"CHN",1982,1.194728,"U",0.1,0.1,"income"
"COL",1982,1.905199,"N",0.1,0.09971794,"income"
"COM",1982,1.755442,"N",0.1,0.09988804,"consumption"
"COD",1982,0.599552,"N",0.1,0.09991752,"consumption"
"COG",1982,0.834844,"N",0.1,0.09953713,"consumption"
"CRI",1982,0.7757993,"N",0.1,0.1,"income"
"CIV",1982,2.525142,"N",0.1,0.09985109,"consumption"
"HRV",1982,10.56004,"N",0.1,0.1,"income"
"CYP",1982,6.84196,"N",0.1,0.1001044,"income"
"CZE",1982,9.38982,"N",0.1,0.09989719,"income"
"DNK",1982,19.10856,"N",0.1,0.09994909,"income"
"DJI",1982,2.849223,"N",0.1,0.09984143,"consumption"
"DOM",1982,2.702522,"N",0.1,0.1,"income"
"ECU",1982,1.307166,"N",0.1,0.1000882,"income"
"EGY",1982,1.598142,"N",0.1,0.1,"consumption"
"SLV",1982,1.016947,"N",0.1,0.1,"income"
"EST",1982,4.864333,"N",0.1,0.1,"income"
"SWZ",1982,0.1180891,"N",0.1,0.1,"consumption"
"ETH",1982,0.7792409,"N",0.1,0.09992485,"consumption"
"FJI",1982,2.266195,"N",0.1,0.1000078,"consumption"
"FIN",1982,15.28473,"N",0.1,0.09999073,"income"
"FRA",1982,13.37746,"N",0.1,0.09981239,"income"
"GAB",1982,2.557523,"N",0.1,0.1001642,"consumption"
"GMB",1982,0.4535754,"N",0.1,0.0981953,"consumption"
"GEO",1982,8.66575,"N",0.1,0.1,"consumption"
"DEU",1982,16.51601,"N",0.1,0.09999766,"income"
"GHA",1982,0.8891777,"N",0.1,0.1,"consumption"
"GRC",1982,6.289217,"N",0.1,0.09990067,"income"
"GTM",1982,0.5445046,"N",0.1,0.1,"income"
"GIN",1982,0.116886,"N",0.1,0.1,"consumption"
"GNB",1982,0.3470587,"N",0.1,0.1,"consumption"
"GUY",1982,1.111255,"N",0.1,0.09999999,"income"
"HTI",1982,0.4601314,"N",0.1,0.09962224,"income"
"HND",1982,0.5493935,"N",0.1,0.1,"income"
"HUN",1982,12.041,"N",0.1,0.1,"income"
"ISL",1982,16.53713,"N",0.1,0.100038,"income"
"IND",1982,0.8460893,"A",0.1,0.1,"consumption"
"IND",1982,0.8460893,"R",0.1,0.1,"consumption"
"IND",1982,1.065143,"U",0.1,0.1,"consumption"
"IDN",1982,0.6844633,"A",0.1,0.1,"consumption"
"IDN",1982,0.6844633,"R",0.1,0.1,"consumption"
"IDN",1982,0.9566125,"U",0.1,0.1,"consumption"
"IRN",1982,1.865548,"N",0.1,0.1,"consumption"
"IRQ",1982,2.212815,"N",0.1,0.1008999,"consumption"
"IRL",1982,6.3546,"N",0.1,0.09964853,"income"
"ISR",1982,7.499177,"N",0.1,0.09945791,"income"
"ITA",1982,9.959365,"N",0.1,0.09971445,"income"
"JAM",1982,2.217307,"N",0.1,0.1,"consumption"
"JPN",1982,8.502332,"N",0.1,0.09998244,"income"
"JOR",1982,4.22703,"N",0.1,0.1,"consumption"
"KAZ",1982,2.874388,"N",0.1,0.1,"income"
"KEN",1982,0.9586881,"N",0.1,0.1,"consumption"
"KIR",1982,2.275175,"N",0.1,0.09934866,"consumption"
"KOR",1982,3.798295,"N",0.1,0.0999505,"income"
"KGZ",1982,1.681496,"N",0.1,0.0998615,"consumption"
"LAO",1982,1.119971,"N",0.1,0.09982433,"consumption"
"LVA",1982,6.400754,"N",0.1,0.1,"income"
"LBN",1982,3.916695,"N",0.1,0.1002496,"consumption"
"LSO",1982,0.4667047,"N",0.1,0.1,"consumption"
"LBR",1982,2.441277,"N",0.1,0.0992398,"consumption"
"LTU",1982,3.358773,"N",0.1,0.1,"income"
"LUX",1982,17.2852,"N",0.1,0.09970531,"income"
"MDG",1982,0.6208959,"N",0.1,0.09996704,"consumption"
"MWI",1982,0.7079621,"N",0.1,0.09988548,"consumption"
"MYS",1982,2.733429,"N",0.1,0.1,"income"
"MLI",1982,0.2301854,"N",0.1,0.09971444,"consumption"
"MLT",1982,6.860512,"N",0.1,0.1000176,"income"
"MRT",1982,0.6917182,"N",0.1,0.1,"consumption"
"MUS",1982,1.559157,"N",0.1,0.09984046,"consumption"
"MEX",1982,2.259415,"N",0.1,0.1001431,"consumption"
"MDA",1982,4.158491,"N",0.1,0.09998488,"consumption"
"MNG",1982,1.857265,"N",0.1,0.1,"consumption"
"MNE",1982,10.30333,"N",0.1,0.1002959,"consumption"
"MAR",1982,1.705757,"N",0.1,0.1,"consumption"
"MOZ",1982,0.2780769,"N",0.1,0.09993309,"consumption"
"MMR",1982,0.3924916,"N",0.1,0.1000015,"consumption"
"NAM",1982,0.5449672,"N",0.1,0.1,"income"
"NPL",1982,0.6779349,"N",0.1,0.1,"income"
"NLD",1982,15.67979,"N",0.1,0.09986482,"income"
"NIC",1982,1.419144,"N",0.1,0.09987461,"consumption"
"NER",1982,0.8952373,"N",0.1,0.1,"consumption"
"NGA",1982,0.7579824,"N",0.1,0.1,"consumption"
"MKD",1982,4.298555,"N",0.1,0.1,"consumption"
"NOR",1982,14.5514,"N",0.1,0.09988859,"income"
"PAK",1982,0.7631212,"N",0.1,0.09992143,"consumption"
"PAN",1982,2.204676,"N",0.1,0.09981249,"income"
"PNG",1982,0.5428617,"N",0.1,0.09942414,"consumption"
"PRY",1982,4.180177,"N",0.1,0.1012341,"income"
"PER",1982,3.381951,"N",0.1,0.09976565,"consumption"
"PHL",1982,1.35355,"N",0.1,0.1,"consumption"
"POL",1982,6.405786,"N",0.1,0.09999998,"income"
"PRT",1982,5.341528,"N",0.1,0.0999817,"income"
"ROU",1982,7.810256,"N",0.1,0.1,"income"
"RUS",1982,3.725109,"N",0.1,0.1,"consumption"
"RWA",1982,0.5769898,"N",0.1,0.0997794,"consumption"
"WSM",1982,2.150762,"N",0.1,0.09922475,"consumption"
"SEN",1982,0.4124928,"N",0.1,0.1,"consumption"
"SRB",1982,10.67968,"N",0.1,0.099888,"consumption"
"SYC",1982,3.117657,"N",0.1,0.09887793,"consumption"
"SLE",1982,-0.001847924,"N",0.1,0.1944817,"consumption"
"SVN",1982,18.461,"N",0.1,0.1,"income"
"ZAF",1982,1.240988,"N",0.1,0.1,"consumption"
"ESP",1982,6.399255,"N",0.1,0.09995726,"income"
"LKA",1982,1.4474,"N",0.1,0.1,"consumption"
"LCA",1982,0.4862116,"N",0.1,0.1,"income"
"SDN",1982,0.9358266,"N",0.1,0.1001787,"consumption"
"SUR",1982,0,"N",0.1,0.1132014,"income"
"SWE",1982,15.43424,"N",0.1,0.09996916,"income"
"CHE",1982,26.48285,"N",0.1,0.09975049,"income"
"SYR",1982,2.366286,"N",0.1,0.0999908,"consumption"
"TWN",1982,7.545072,"N",0.1,0.09998147,"income"
"TJK",1982,3.466672,"N",0.1,0.1007548,"consumption"
"TZA",1982,0.6214482,"N",0.1,0.0995108,"consumption"
"THA",1982,1.439469,"N",0.1,0.1,"consumption"
"TGO",1982,0.951328,"N",0.1,0.09978135,"consumption"
"TON",1982,2.342767,"N",0.1,0.09985107,"consumption"
"TTO",1982,5.323359,"N",0.1,0.1,"income"
"TUN",1982,1.556567,"N",0.1,0.1,"consumption"
"TUR",1982,2.356129,"N",0.1,0.1,"consumption"
"TKM",1982,1.21656,"N",0.1,0.1,"consumption"
"UGA",1982,0.5934592,"N",0.1,0.1,"consumption"
"UKR",1982,3.445738,"N",0.1,0.09999628,"consumption"
"ARE",1982,58.55448,"N",0.1,0.1,"income"
"GBR",1982,11.29021,"N",0.1,0.09980494,"income"
"USA",1982,16.59961,"N",0.1,0.09998548,"income"
"URY",1982,5.139956,"N",0.1,0.1000306,"income"
"UZB",1982,0.9689833,"N",0.1,0.0998272,"consumption"
"VUT",1982,1.306387,"N",0.1,0.1001346,"consumption"
"VEN",1982,2.352063,"N",0.1,0.1,"income"
"VNM",1982,0.6797132,"N",0.1,0.09979575,"consumption"
"PSE",1982,3.000294,"N",0.1,0.1005171,"consumption"
"YEM",1982,1.932724,"N",0.1,0.09990751,"consumption"
"ZMB",1982,0.1592719,"N",0.1,0.09970218,"consumption"
"ZWE",1982,1.788609,"N",0.1,0.1,"consumption"
"ALB",1983,3.370165,"N",0.1,0.09991521,"consumption"
"DZA",1983,2.658815,"N",0.1,0.1,"consumption"
"AGO",1983,0.8504133,"N",0.1,0.09979815,"consumption"
"ARG",1983,5.833313,"U",0.1,0.1,"income"
"ARM",1983,2.704398,"N",0.1,0.1,"income"
"AUS",1983,14.71368,"N",0.1,0.09680814,"income"
"AUT",1983,22.0597,"N",0.1,0.09997537,"income"
"AZE",1983,6.005644,"N",0.1,0.09967431,"consumption"
"BGD",1983,1.330097,"N",0.1,0.1,"consumption"
"BLR",1983,4.277403,"N",0.1,0.1,"income"
"BEL",1983,14.92751,"N",0.1,0.09984169,"income"
"BLZ",1983,0.9548397,"N",0.1,0.09987093,"income"
"BEN",1983,0.758449,"N",0.1,0.09972347,"consumption"
"BTN",1983,0.5747265,"N",0.1,0.09996612,"consumption"
"BOL",1983,1.516297,"N",0.1,0.1001041,"income"
"BIH",1983,2.764586,"N",0.1,0.09994571,"consumption"
"BWA",1983,0.6755017,"N",0.1,0.1,"consumption"
"BRA",1983,0.9874914,"N",0.1,0.09999704,"income"
"BGR",1983,10.48974,"N",0.1,0.09999998,"consumption"
"BFA",1983,0.3616066,"N",0.1,0.09975863,"consumption"
"BDI",1983,0.4987942,"N",0.1,0.1,"consumption"
"CPV",1983,0.5244403,"N",0.1,0.09987529,"consumption"
"CMR",1983,1.356113,"N",0.1,0.09863332,"consumption"
"CAN",1983,15.76785,"N",0.1,0.09997782,"income"
"CAF",1983,0.1355164,"N",0.1,0.1,"consumption"
"TCD",1983,0.5583455,"N",0.1,0.09988872,"consumption"
"CHL",1983,1.693634,"N",0.1,0.09990597,"income"
"CHN",1983,0.5949146,"A",0.1,0.1,"income"
"CHN",1983,0.5949146,"R",0.1,0.1,"income"
"CHN",1983,1.245181,"U",0.1,0.1,"income"
"COL",1983,1.872982,"N",0.1,0.09971794,"income"
"COM",1983,1.789984,"N",0.1,0.09988804,"consumption"
"COD",1983,0.5933194,"N",0.1,0.09991752,"consumption"
"COG",1983,0.8584088,"N",0.1,0.09953713,"consumption"
"CRI",1983,0.7972266,"N",0.1,0.1,"income"
"CIV",1983,2.325836,"N",0.1,0.09985109,"consumption"
"HRV",1983,10.34848,"N",0.1,0.1,"income"
"CYP",1983,7.278983,"N",0.1,0.1001044,"income"
"CZE",1983,9.538856,"N",0.1,0.09989719,"income"
"DNK",1983,19.4874,"N",0.1,0.09994909,"income"
"DJI",1983,2.776062,"N",0.1,0.09984143,"consumption"
"DOM",1983,2.716981,"N",0.1,0.1,"income"
"ECU",1983,1.227067,"N",0.1,0.1000882,"income"
"EGY",1983,1.687904,"N",0.1,0.1,"consumption"
"SLV",1983,1.015323,"N",0.1,0.1,"income"
