"regioncode","year","threshold","goal","headcount"
"EAP",2018,1.043964,0.1,0.1000802
"EAP",2018,1.356716,0.1,0.0996773
"EAP",2018,1.503078,0.1,0.09785376
"EAP",2018,1.553895,0.1,0.0998279
"EAP",2018,1.651392,0.1,0.1001346
"EAP",2018,1.827166,0.1,0.09934866
"EAP",2018,2.018432,0.1,0.0997257
"EAP",2018,2.346448,0.1,0.09999277
"EAP",2018,2.348514,0.1,0.09997748
"EAP",2018,2.534064,0.1,0.1000252
"EAP",2018,3.030201,0.1,0.09995849
"EAP",2018,3.118322,0.1,0.09940688
"EAP",2018,3.514937,0.1,0.09967538
"EAP",2018,3.667671,0.1,0.1
"EAP",2018,3.669487,0.1,0.09976151
"EAP",2018,3.727489,0.1,0.09990468
"EAP",2018,3.853162,0.1,0.09997381
"EAP",2018,4.144006,0.1,0.09998211
"EAP",2018,5.765136,0.1,0.1000579
"EAP",2018,5.873115,0.1,0.1
"EAP",2018,9.716698,0.1,0.1000015
"ECA",2018,1.777633,0.1,0.100082
"ECA",2018,2.626572,0.1,0.1002483
"ECA",2018,2.992147,0.1,0.09993744
"ECA",2018,3.139872,0.1,0.100021
"ECA",2018,3.142052,0.1,0.1
"ECA",2018,3.242031,0.1,0.09991786
"ECA",2018,3.506133,0.1,0.09984869
"ECA",2018,3.529343,0.1,0.1001182
"ECA",2018,3.976397,0.1,0.1001541
"ECA",2018,4.389818,0.1,0.1000406
"ECA",2018,4.685895,0.1,0.1002948
"ECA",2018,5.18931,0.1,0.09979907
"ECA",2018,5.8306,0.1,0.09999059
"ECA",2018,6.223586,0.1,0.1000023
"ECA",2018,6.344373,0.1,0.1000413
"ECA",2018,6.588379,0.1,0.1003735
"ECA",2018,7.071326,0.1,0.09996918
"ECA",2018,7.349923,0.1,0.09999671
"ECA",2018,8.830006,0.1,0.1000545
"ECA",2018,9.271121,0.1,0.1000418
"ECA",2018,9.895142,0.1,0.1001701
"ECA",2018,10.16622,0.1,0.1002738
"ECA",2018,10.54038,0.1,0.1000818
"ECA",2018,10.69501,0.1,0.09979831
"ECA",2018,11.37706,0.1,0.1000179
"ECA",2018,12.20973,0.1,0.1000524
"ECA",2018,12.89949,0.1,0.100035
"ECA",2018,15.3553,0.1,0.09996299
"ECA",2018,17.28891,0.1,0.100088
"ECA",2018,19.07771,0.1,0.1002071
"LAC",2018,0,0.1,0.1132014
"LAC",2018,1.181806,0.1,0.100048
"LAC",2018,1.288717,0.1,0.100081
"LAC",2018,1.495666,0.1,0.09961597
"LAC",2018,2.19867,0.1,0.1000508
"LAC",2018,2.922987,0.1,0.1
"LAC",2018,3.016489,0.1,0.1000133
"LAC",2018,3.028702,0.1,0.1001657
"LAC",2018,3.101985,0.1,0.1001467
"LAC",2018,3.202457,0.1,0.09994166
"LAC",2018,3.241311,0.1,0.1002942
"LAC",2018,3.268967,0.1,0.09990719
"LAC",2018,3.423545,0.1,0.09999761
"LAC",2018,3.480385,0.1,0.1000035
"LAC",2018,3.504338,0.1,0.1000254
"LAC",2018,3.804133,0.1,0.1000049
"LAC",2018,4.272178,0.1,0.1000442
"LAC",2018,4.724673,0.1,0.0999966
"LAC",2018,4.807581,0.1,0.1000266
"LAC",2018,4.961004,0.1,0.1000137
"LAC",2018,5.172617,0.1,0.09999585
"LAC",2018,6.71734,0.1,0.1
"LAC",2018,7.866946,0.1,0.1000145
"LAC",2018,8.188945,0.1,0.0999931
"MNA",2018,0.9224915,0.1,0.1002192
"MNA",2018,1.068898,0.1,0.0999908
"MNA",2018,1.537423,0.1,0.1003489
"MNA",2018,2.342722,0.1,0.1000116
"MNA",2018,2.943516,0.1,0.09999283
"MNA",2018,3.858325,0.1,0.1000494
"MNA",2018,4.078482,0.1,0.100221
"MNA",2018,4.288592,0.1,0.1000524
"MNA",2018,4.463242,0.1,0.1
"MNA",2018,4.630559,0.1,0.100012
"MNA",2018,4.673976,0.1,0.1000198
"MNA",2018,10.08598,0.1,0.1002496
"OHI",2018,7.916924,0.1,0.1000069
"OHI",2018,9.816141,0.1,0.09998158
"OHI",2018,11.46535,0.1,0.1000015
"OHI",2018,13.04738,0.1,0.09996151
"OHI",2018,14.21541,0.1,0.1000131
"OHI",2018,16.90076,0.1,0.0999049
"OHI",2018,18.94478,0.1,0.09997467
"OHI",2018,19.05436,0.1,0.1001003
"OHI",2018,19.88966,0.1,0.1
"OHI",2018,19.98217,0.1,0.09946071
"OHI",2018,20.37136,0.1,0.09986956
"OHI",2018,20.54587,0.1,0.09999451
"OHI",2018,21.06282,0.1,0.1001851
"OHI",2018,21.28505,0.1,0.1001334
"OHI",2018,22.08503,0.1,0.09999003
"OHI",2018,22.22505,0.1,0.1001927
"OHI",2018,22.5078,0.1,0.1000097
"OHI",2018,22.94692,0.1,0.09995644
"OHI",2018,24.20964,0.1,0.0998753
"OHI",2018,24.33317,0.1,0.09989675
"OHI",2018,24.78235,0.1,0.100332
"OHI",2018,25.70588,0.1,0.1001375
"OHI",2018,25.89787,0.1,0.1001075
"OHI",2018,27.18736,0.1,0.1001247
"OHI",2018,28.8475,0.1,0.1001042
"OHI",2018,30.158,0.1,0.1002778
"OHI",2018,30.88391,0.1,0.09999394
"OHI",2018,33.83859,0.1,0.1001315
"SAS",2018,1.898452,0.1,0.1000716
"SAS",2018,2.019084,0.1,0.100001
"SAS",2018,2.165846,0.1,0.100065
"SAS",2018,2.197171,0.1,0.1001034
"SAS",2018,2.556212,0.1,0.1000124
"SAS",2018,3.211053,0.1,0.09999189
"SAS",2018,3.432842,0.1,0.1000064
"SAS",2018,7.872177,0.1,0.1000715
"SSA",2018,0.2102707,0.1,0.100042
